street,R2,RMSE,MAE
JUNCTION BOULEVARD,0.29403542456312315,136.28805080350776,110.34198954837221
KINGS HIGHWAY,0.1486312077714239,177.1042104696044,133.10698042382148
KISSENA BOULEVARD,0.1668130632170688,185.17753682554678,153.8837194697754
LAFAYETTE AVENUE,0.11835460494267369,168.01962380996602,142.76541733604355
LAFAYETTE STREET,0.28868293413986823,167.7295573617163,134.52017362566087
LEXINGTON AVENUE,0.394126597221379,248.95788951498707,198.69725977984814
LIBERTY AVENUE,0.2954896196924821,194.3351013096309,141.66458604856118
LINDEN BOULEVARD,0.15438622004109226,256.3769574207778,186.22939067044163
LONG ISLAND EXPRESSWAY,0.10084747398928529,1659.2234465272418,1374.5483249358435
LONGWOOD AVENUE,0.10712826826898403,114.8589336598921,89.77469015712208
MADISON AVENUE,0.2639802690953472,334.92488374985555,266.07228878118616
MADISON AVENUE BRIDGE,0.20115095026909702,345.172184777898,275.5595533809515
MADISON STREET,0.12385070603156545,95.25788637224022,75.98271789840172
MAIN STREET,0.24601193415368117,257.1943132802107,195.33521644993468
MAJOR DEEGAN EXPRESSWAY,0.21097739279268957,988.7161181912229,787.2309582471859
MANHATTAN AVENUE,0.24331384259625477,49.00324296856072,40.824578794266046
MANHATTAN BRIDGE,-0.003164575250310664,336.2110618229334,280.86666430395167
MANOR ROAD,0.17670622977502992,138.84033738411406,115.97404437111236
MARATHON PARKWAY,0.06494730148262029,82.52672971487836,67.47901980870947
MARTLING AVENUE,0.08140621675925785,287.7016811788552,217.8225680263513
MERRICK BOULEVARD,0.2550820029594236,258.695936575934,209.33089184148326
METROPOLITAN AVENUE,0.1696338650967949,183.0916480769004,147.37345998705666
MYRTLE AVENUE,0.21901638279582558,101.03232073046848,80.06250975340681
NEPTUNE AVENUE,0.1419496620714764,213.1961698871137,169.0085367912034
NEW YORK AVENUE,0.20959322969039884,97.46443198342992,70.09492090506835
NORTH CHANNEL BRIDGE,0.237674148279726,275.81196966270846,224.85666603790582
NORTH CONDUIT AVENUE,0.1787250087795127,444.11715888634376,359.66060488417065
NORTHERN BOULEVARD,0.20201448350811668,383.3596002007472,307.37068071994423
OCEAN AVENUE,0.19976288556271682,237.6222009153491,186.0114973003107
OCEAN PARKWAY,0.2159608985242405,419.2398817012911,312.6087531888173
OCEAN TERRACE,0.13946047348389612,113.66447074552535,86.75679329266224
PARK AVENUE,0.29884107454554654,296.41808970163225,222.77868898002862
PARSONS BOULEVARD,0.23228620618761364,128.60066925203557,103.15285208797975
PELHAM BRIDGE,0.31525984387332895,274.5602343333754,219.1047725876415
PELHAM PARKWAY,0.2197565729419816,347.08026894058065,286.00937377777257
PELHAM PARKWAY SOUTH,0.3138648955593534,117.92094387161904,98.68655060380293
PENNSYLVANIA AVENUE,0.1612492234430093,251.72665533731933,203.16112374159516
PROSPECT AVENUE,0.0996412242653163,156.00020109168338,94.46492586278237
PULASKI BRIDGE,0.19302794498270615,351.68120209466235,288.4672006479817
QUEENS BLVD,0.4019761626445718,281.50369827898373,202.91424202506772
QUEENS BOULEVARD,0.18338376762936448,360.90828433121214,259.73101599307955
RALPH AVENUE,0.16832714690614947,212.69453454237248,181.90069843348044
RANDALL AVENUE,0.06992763454229944,693.4258069249569,534.6100336067157
REMSEN AVENUE,0.33273394774591836,108.49391216443308,87.80447959899254
RICHMOND AVENUE,0.16281449826591776,636.0414472811688,525.3158956877909
RICHMOND ROAD,0.14167621378155926,283.77522729107204,225.5481145309907
RIKERS ISLAND BRIDGE,0.14171537363732156,184.09230456449984,134.52260296706248
RIVER AVENUE,0.18975013326076617,87.0889566544772,68.71086965782791
ROCKAWAY BEACH BOULEVARD,0.16965821921484292,133.06409089184123,104.26611870119751
ROCKAWAY BOULEVARD,0.05283378264086558,720.2217967489003,544.6355393724606
ROCKLAND AVENUE,0.13594558230666187,207.40355181400912,169.00994913576034
ROOSEVELT AVENUE,0.42218008547604857,118.04608511289024,83.87382358637423
